"","Date.Occurred","Crime.Code.Description","Latitude","Longitude"
"1","13","BURGLARY","34.0388"," -118.2676"
"2","13","BURGLARY","34.0407"," -118.2541"
"3","13","BURGLARY","34.0372"," -118.2654"
"4","13","BURGLARY","34.0581"," -118.2371"
"5","13","BURGLARY","34.0393"," -118.2729"
"6","13","BURGLARY","34.0487"," -118.2571"
"7","13","BURGLARY","34.0499"," -118.2614"
"8","13","BURGLARY","34.0371"," -118.2551"
"9","13","BURGLARY","34.0391"," -118.2617"
"10","13","BURGLARY","34.045"," -118.264"
"11","13","BURGLARY","34.0433"," -118.2504"
"12","13","BURGLARY","34.048"," -118.2577"
"13","13","BURGLARY","34.0591"," -118.2412"
"14","13","BURGLARY","34.0317"," -118.2626"
"15","13","BURGLARY","34.0459"," -118.2351"
"16","13","BURGLARY","34.0433"," -118.2504"
"17","13","BURGLARY","34.0496"," -118.2458"
"18","13","BURGLARY","34.0377"," -118.2621"
"19","13","BURGLARY","34.032"," -118.2667"
"20","13","BURGLARY","34.0473"," -118.2601"
"21","13","BURGLARY","34.0446"," -118.245"
"22","13","BURGLARY","34.0575"," -118.2516"
"23","13","BURGLARY","34.0416"," -118.255"
"24","13","BURGLARY","34.0481"," -118.2542"
"25","13","BURGLARY","34.0674"," -118.2468"
"26","13","BURGLARY","34.0613"," -118.2352"
"27","13","BURGLARY","34.0661"," -118.2476"
"28","13","BURGLARY","34.043"," -118.2571"
"29","13","BURGLARY","34.0359"," -118.2344"
"30","13","BURGLARY","34.0473"," -118.2601"
"31","13","BURGLARY","33.9965"," -118.4805"
"32","13","BURGLARY","34.0627"," -118.2463"
"33","13","BURGLARY","34.0452"," -118.2569"
"34","13","BURGLARY","34.0686"," -118.2266"
"35","13","BURGLARY","34.0492"," -118.2488"
"36","13","BURGLARY","33.9878"," -118.4215"
"37","13","BURGLARY","34.0409"," -118.2609"
"38","13","BURGLARY","34.0633"," -118.229"
"39","13","BURGLARY","34.0439"," -118.2479"
"40","13","BURGLARY","34.0518"," -118.2493"
"41","13","BURGLARY","34.0433"," -118.2381"
"42","13","BURGLARY","34.0435"," -118.2471"
"43","13","BURGLARY","34.0428"," -118.2461"
"44","13","BURGLARY","34.0671"," -118.2483"
"45","13","BURGLARY","34.0663"," -118.2441"
"46","13","BURGLARY","34.0488"," -118.2483"
"47","13","BURGLARY","34.0415"," -118.2332"
"48","13","BURGLARY","34.0481"," -118.2507"
"49","13","BURGLARY","34.0488"," -118.2483"
"50","13","BURGLARY","34.046"," -118.2509"
"51","13","BURGLARY","34.0438"," -118.2547"
"52","13","BURGLARY","34.0338"," -118.2665"
"53","13","BURGLARY","34.0663"," -118.2441"
"54","13","BURGLARY","34.0476"," -118.2477"
"55","13","BURGLARY","34.0396"," -118.259"
"56","13","BURGLARY","34.0461"," -118.2476"
"57","13","BURGLARY","34.0482"," -118.2472"
"58","13","BURGLARY","34.048"," -118.2577"
"59","13","BURGLARY","34.0435"," -118.2471"
"60","13","BURGLARY","34.0461"," -118.2476"
"61","13","BURGLARY","34.0453"," -118.2499"
"62","13","BURGLARY","34.0446"," -118.249"
"63","13","BURGLARY","34.0366"," -118.2385"
"64","13","BURGLARY","34.0494"," -118.2599"
"65","13","BURGLARY","34.0531"," -118.2478"
"66","13","BURGLARY","34.0342"," -118.2636"
"67","13","BURGLARY","34.046"," -118.2509"
"68","13","BURGLARY","34.0612"," -118.2417"
"69","13","BURGLARY","34.037"," -118.2583"
"70","13","BURGLARY","34.064"," -118.2375"
"71","13","BURGLARY","34.0439"," -118.2479"
"72","13","BURGLARY","34.0545"," -118.2499"
"73","13","BURGLARY","34.0494"," -118.2599"
"74","13","BURGLARY","34.0663"," -118.2441"
"75","13","BURGLARY","34.0627"," -118.2463"
"76","13","BURGLARY","34.0464"," -118.2447"
"77","13","BURGLARY","34.038"," -118.2627"
"78","13","BURGLARY","34.0502"," -118.254"
"79","13","BURGLARY","34.0401"," -118.2668"
"80","13","BURGLARY","34.0341"," -118.2591"
"81","13","BURGLARY","34.0407"," -118.2468"
"82","13","BURGLARY","34.0617"," -118.2469"
"83","13","BURGLARY","34.0401"," -118.2668"
"84","13","BURGLARY","34.0423"," -118.2631"
"85","13","BURGLARY","34.0598"," -118.2477"
"86","13","BURGLARY","34.0435"," -118.2427"
"87","13","BURGLARY","34.0439"," -118.2514"
"88","13","BURGLARY","34.0396"," -118.259"
"89","13","BURGLARY","34.0591"," -118.2412"
"90","13","BURGLARY","34.0423"," -118.2666"
"91","13","BURGLARY","33.9783"," -118.3991"
"92","13","BURGLARY","34.0487"," -118.2361"
"93","13","BURGLARY","34.0612"," -118.2417"
"94","13","BURGLARY","34.0578"," -118.252"
"95","13","BURGLARY","34.0373"," -118.2503"
"96","13","BURGLARY","34.0423"," -118.2666"
"97","13","BURGLARY","34.038"," -118.2627"
"98","13","BURGLARY","34.043"," -118.2606"
"99","13","BURGLARY","34.0627"," -118.2463"
"100","13","BURGLARY","34.0442"," -118.268"
"101","13","BURGLARY","34.0407"," -118.2541"
"102","13","BURGLARY","34.3"," -118.4713"
"103","13","BURGLARY","34.0412"," -118.2474"
"104","13","BURGLARY","34.0464"," -118.2447"
"105","13","BURGLARY","34.0488"," -118.2483"
"106","13","BURGLARY","34.0453"," -118.2499"
"107","13","BURGLARY","34.0552"," -118.2322"
"108","13","BURGLARY","34.0401"," -118.2533"
"109","13","BURGLARY","34.0474"," -118.2496"
"110","13","BURGLARY","34.0392"," -118.2524"
"111","13","BURGLARY","34.0419"," -118.2485"
"112","13","BURGLARY","34.0445"," -118.2523"
"113","13","BURGLARY","34.0343"," -118.2656"
"114","13","BURGLARY","34.0472"," -118.2381"
"115","13","BURGLARY","34.0395"," -118.2622"
"116","13","BURGLARY","34.0627"," -118.2463"
"117","13","BURGLARY","34.0326"," -118.2589"
"118","13","BURGLARY","34.0423"," -118.2631"
"119","13","BURGLARY","34.0395"," -118.2656"
"120","13","BURGLARY","34.0346"," -118.2306"
"121","13","BURGLARY","34.0459"," -118.2545"
"122","13","BURGLARY","34.0524"," -118.2467"
"123","13","BURGLARY","34.0395"," -118.2656"
"124","13","BURGLARY","34.0493"," -118.2337"
"125","13","BURGLARY","34.0445"," -118.2558"
"126","13","BURGLARY","34.0452"," -118.2569"
"127","13","BURGLARY","34.0423"," -118.2666"
"128","13","BURGLARY","34.0377"," -118.2621"
"129","13","BURGLARY","34.0395"," -118.2656"
"130","13","BURGLARY","34.0673"," -118.2489"
"131","13","BURGLARY","34.0713"," -118.2291"
"132","13","BURGLARY","34.0467"," -118.2485"
"133","13","BURGLARY","34.0361"," -118.2385"
"134","13","BURGLARY","34.048"," -118.2577"
"135","13","BURGLARY","34.0445"," -118.2558"
"136","13","BURGLARY","34.0389"," -118.2643"
"137","13","BURGLARY","34.0467"," -118.2556"
"138","13","BURGLARY","34.0627"," -118.2463"
"139","13","BURGLARY","34.0383"," -118.2305"
"140","13","BURGLARY","34.051"," -118.248"
"141","13","BURGLARY","34.0395"," -118.2656"
"142","13","BURGLARY","34.0996"," -117.7059"
"143","13","BURGLARY","34.0434"," -118.2542"
"144","13","BURGLARY","34.0382"," -118.2665"
"145","13","BURGLARY","34.0363"," -118.2314"
"146","13","BURGLARY","34.0663"," -118.2441"
"147","13","BURGLARY","34.0682"," -118.2502"
"148","13","BURGLARY","34.0317"," -118.2641"
"149","13","BURGLARY","34.0423"," -118.2561"
"150","13","BURGLARY","34.0409"," -118.2574"
"151","13","BURGLARY","34.0479"," -118.2612"
"152","13","BURGLARY","34.0423"," -118.2666"
"153","13","BURGLARY","34.0446"," -118.245"
"154","13","BURGLARY","34.0328"," -118.2594"
"155","13","BURGLARY","34.0423"," -118.2595"
"156","13","BURGLARY","34.0398"," -118.2726"
"157","13","BURGLARY","34.0444"," -118.2628"
"158","13","BURGLARY","34.0423"," -118.2595"
"159","13","BURGLARY","34.0377"," -118.2621"
"160","13","BURGLARY","34.0487"," -118.2627"
"161","13","BURGLARY","34.0382"," -118.2384"
"162","13","BURGLARY","34.0682"," -118.2502"
"163","13","BURGLARY","34.0388"," -118.2731"
"164","13","BURGLARY","34.037"," -118.2583"
"165","13","BURGLARY","34.0423"," -118.2666"
"166","13","BURGLARY","34.0503"," -118.2433"
"167","13","BURGLARY","34.0382"," -118.2432"
"168","13","BURGLARY","34.0454"," -118.2657"
"169","13","BURGLARY","34.0481"," -118.2542"
"170","13","BURGLARY","34.0389"," -118.2643"
"171","13","BURGLARY","34.0454"," -118.2657"
"172","13","BURGLARY","34.0412"," -118.2331"
"173","13","BURGLARY","34.0547"," -118.2505"
"174","13","BURGLARY","34.0454"," -118.2657"
"175","13","BURGLARY","34.0311"," -118.2646"
"176","13","BURGLARY","34.0493"," -118.2418"
"177","13","BURGLARY","34.0591"," -118.2412"
"178","13","BURGLARY","34.0449"," -118.2528"
"179","13","BURGLARY","34.0646"," -118.2372"
"180","13","BURGLARY","34.046"," -118.2509"
"181","13","BURGLARY","34.0467"," -118.2556"
"182","13","BURGLARY","34.0346"," -118.2323"
"183","13","BURGLARY","34.0446"," -118.245"
"184","13","BURGLARY","34.0472"," -118.2326"
"185","13","BURGLARY","34.0591"," -118.2412"
"186","13","BURGLARY","34.0752"," -118.2511"
"187","13","BURGLARY","34.0591"," -118.2412"
"188","13","BURGLARY","34.0395"," -118.2656"
"189","13","BURGLARY","34.0563"," -118.2374"
"190","13","BURGLARY","34.0328"," -118.2594"
"191","13","BURGLARY","34.046"," -118.2509"
"192","13","BURGLARY","34.0591"," -118.2412"
"193","13","BURGLARY","34.032"," -118.2657"
"194","13","BURGLARY","34.0474"," -118.2531"
"195","13","BURGLARY","34.0627"," -118.2463"
"196","13","BURGLARY","34.0736"," -118.2312"
"197","13","BURGLARY","34.0419"," -118.2523"
